title,slug,description,rooms,beds,toilets,mq,image,lat,lon,address,visible
Castello Gotico del 700,castello gotico del 700,"Scoprite il fascino del Castello Gotico del 700, una dimora storica che incanta con la sua architettura antica e i suoi misteri. Ogni pietra racconta una storia e ogni angolo nasconde un segreto. Prenotate ora per un'esperienza che vi trasporterà indietro nel tempo.",6,4,2,250,"img/castello-gotico.jpg",45.201989,7.775819,Piazza Vittorio Emanuele II 2 10088 Volpiano TO,1
Faro Demoniaco,faro demoniaco,"Il Faro Demoniaco è un luogo di leggende e avventure oscure. Situato su una scogliera, offre una vista mozzafiato e un'atmosfera carica di mistero. Prenotate ora per vivere un'esperienza unica tra onde tumultuose e racconti di spiriti.",4,7,3,250,"img/faro-demoniaco.jpg",45.186266,7.731504,Via Volpiano 51 10040 Volpiano TO,1
Grotta degli Urli,grotta degli urli,"La Grotta degli Urli, con le sue formazioni rocciose e i suoi echi inquietanti, è un luogo che incanta e spaventa. Esplorate questo mondo sotterraneo e lasciatevi affascinare dai suoi misteri. Prenotate ora per un'avventura indimenticabile nelle profondità della terra.",2,3,4,250,"img/grotta-degli-urli.jpg",45.119493,7.658821,Via Lanzo 162 10148 Torino TO,1
Luna Park della Morte,luna park della morte,"Il Luna Park della Morte è un'attrazione unica che mescola divertimento e paura. Tra giostre abbandonate e atmosfere spettrali, offre un'esperienza emozionante per chi ama il brivido. Prenotate ora per una notte di divertimento e terrore.",1,5,2,250,"img/luna-park-della-morte.jpg",45.095444,7.361662,Via del Rio 27 10057 Sant'Ambrogio di Torino TO,1
Villa dei Fantasmi,villa dei fantasmi,"La Villa dei Fantasmi è un'antica dimora signorile avvolta nel mistero. Conosciuta per le sue storie di apparizioni spettrali, offre un'esperienza unica tra storia e leggenda. Prenotate ora per un soggiorno indimenticabile in un luogo dove il passato e il presente si fondono.",10,4,3,600,"img/villa-dei-fantasmi.jpg",45.070312,7.686856,Corso Unione Sovietica 10135 Torino TO,1
Palazzo degli Incubi,palazzo degli incubi,"Il Palazzo degli Incubi è una residenza storica dove la realtà si mescola con il soprannaturale. Le sue stanze sono piene di storie di mistero e terrore. Prenotate ora per vivere un'avventura che vi terrà col fiato sospeso.",20,6,4,1200,"img/palazzo-degli-incubi.jpg",45.062892,7.661939,Via Nizza 10126 Torino TO,1
Maniero del Lupo,maniero del lupo,"Situato tra le colline torinesi, il Maniero del Lupo è una fortezza antica che incarna il fascino del Medioevo. Con le sue torri e le sue mura, offre un'esperienza unica di immersione storica. Prenotate ora per un soggiorno che vi trasporterà indietro nel tempo.",15,5,3,900,"img/maniero-del-lupo.jpg",45.042200,7.714255,Via San Donato 10095 Grugliasco TO,1
Dimora delle Ombre,dimora delle ombre,"La Dimora delle Ombre è un'antica villa immersa nel mistero. Con le sue sale oscure e i racconti di presenze inquietanti, offre un'esperienza unica per chi cerca il brivido. Prenotate ora per un soggiorno avvolto dal fascino del paranormale.",12,8,4,700,"img/dimora-delle-ombre.jpg",45.078356,7.676789,Via Roma 10023 Moncalieri TO,1
Torre del Silenzio,torre del silenzio,"La Torre del Silenzio domina il paesaggio con la sua imponenza e il suo mistero. Le sue stanze raccontano storie di un passato remoto e affascinante. Prenotate ora per un'esperienza unica in un luogo che evoca leggende antiche.",8,3,2,500,"img/torre-del-silenzio.jpg",45.058774,7.678942,Corso Francia 10098 Rivoli TO,1
Casale Stregato,casale stregato,"Immerso nella campagna torinese, il Casale Stregato è una residenza storica ricca di fascino e mistero. Le sue mura raccontano storie di antiche stregonerie. Prenotate ora per un soggiorno che vi farà rivivere un passato magico e inquietante.",10,9,3,600,"img/casale-stregato.jpg",45.032722,7.752511,Via Torino 10040 Volvera TO,1
Abbazia Maledetta,abbazia maledetta,"L'Abbazia Maledetta è un luogo di leggende e storie oscure. Le sue antiche mura e le sue cripte segrete offrono un'esperienza unica per chi ama il mistero. Prenotate ora per un soggiorno che vi farà scoprire i segreti di un'epoca passata.",15,2,4,1000,"img/abbazia-maledetta.jpg",45.045723,7.734932,Strada Pecetto 10023 Chieri TO,1
Castello del Crepuscolo,castello del crepuscolo,"Il Castello del Crepuscolo è una fortezza che incarna il fascino gotico e il mistero. Con le sue torri e le sue sale oscure, offre un'esperienza unica per chi cerca l'avventura. Prenotate ora per un soggiorno che vi trasporterà in un'epoca di leggende.",18,7,5,1100,"img/castello-del-crepuscolo.jpg",45.073245,7.708874,Corso Moncalieri 10133 Torino TO,1
Villa delle Streghe,villa delle streghe,"La Villa delle Streghe è un'antica dimora dove le leggende di stregoneria prendono vita. Le sue stanze sono avvolte da un'aura di mistero e fascino. Prenotate ora per un soggiorno che vi farà vivere un'esperienza magica e indimenticabile.",14,6,3,850,"img/villa-delle-streghe.jpg",45.079832,7.683752,Via Bologna 10152 Torino TO,1
Grotta dei Misteri,grotta dei misteri,"La Grotta dei Misteri è un luogo affascinante e oscuro dove la natura e il soprannaturale si incontrano. Esplorate le sue profondità e scoprite le storie che la circondano. Prenotate ora per un'avventura unica nel cuore della terra.",5,4,1,300,"img/grotta-dei-misteri.jpg",45.093478,7.680451,Strada Comunale Val San Martino 10131 Torino TO,1
Cascina degli Spiriti,cascina degli spiriti,"Situata nella quiete della campagna, la Cascina degli Spiriti è un luogo ricco di storie e leggende. Le sue antiche stanze sono avvolte da un'aura di mistero. Prenotate ora per un soggiorno che vi farà scoprire i segreti di un tempo passato.",8,5,2,400,"img/cascina-degli-spiriti.jpg",45.097845,7.620451,Via Venaria 10091 Alpignano TO,1
Monastero delle Tenebre,monastero delle tenebre,"Il Monastero delle Tenebre è un antico luogo di culto che nasconde segreti e storie oscure. Le sue cripte e i suoi corridoi evocano un passato misterioso. Prenotate ora per un'esperienza unica tra le ombre del passato.",12,7,3,700,"img/monastero-delle-tenebre.jpg",45.111235,7.680234,Corso Laghi 10051 Avigliana TO,1
Borgo dei Fantasmi,borgo dei fantasmi,"Il Borgo dei Fantasmi è un antico villaggio abbandonato dove le storie di apparizioni sono all'ordine del giorno. Esplorate le sue strade deserte e scoprite le leggende che lo circondano. Prenotate ora per un'avventura nel soprannaturale.",20,8,5,1200,"img/borgo-dei-fantasmi.jpg",45.102345,7.681234,Via San Massimo 10020 Baldissero Torinese TO,1
Cappella Maledetta,cappella maledetta,"La Cappella Maledetta è un luogo di culto avvolto da storie oscure e misteriose. Le sue cripte nascondono segreti antichi e affascinanti. Prenotate ora per un soggiorno che vi farà scoprire i misteri di un passato remoto.",6,2,1,350,"img/cappella-maledetta.jpg",45.098234,7.672345,Via Martiri della Libertà 10023 Pecetto Torinese TO,1
Mansione Oscura,mansione oscura,"La Mansione Oscura è una dimora storica che incarna il fascino del mistero e del soprannaturale. Le sue sale sono piene di racconti inquietanti e leggende. Prenotate ora per un soggiorno che vi terrà con il fiato sospeso.",18,9,4,950,"img/mansione-oscura.jpg",45.085432,7.712345,Via Vittorio Veneto 10044 Pianezza TO,1
Castello del Terrore,castello del terrore,"Il Castello del Terrore è una fortezza antica dove le storie di paura prendono vita. Le sue torri e i suoi corridoi sono avvolti da un'aura di mistero. Prenotate ora per un soggiorno che vi farà vivere un'esperienza unica tra leggenda e realtà.",16,3,3,1000,"img/castello-del-terrore.jpg",45.075432,7.700123,Via Susa 10095 Grugliasco TO,1
